"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000106361",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106379",0.276815361668848,-1.68250041043383,3.06715370230845,-0.548554318998593,0.58331134237984,0.876098704580508
"ENSMUSG00000106384",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106385",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106392",0.197276672197601,-2.10120506970855,3.06209288870195,-0.686198997248339,0.49258763003571,0.876098704580508
"ENSMUSG00000106404",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000106406",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000106417",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106422",0.197276672197601,-2.10120506970855,3.06209288870195,-0.686198997248339,0.49258763003571,0.876098704580508
"ENSMUSG00000106424",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106437",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106456",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000106466",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106469",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000106507",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000106508",7.90295667332514e-05,-1.28357969332704,3.06913877993551,-0.418221457341208,0.675785208891514,0.876098704580508
"ENSMUSG00000106534",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000106536",0.197276672197601,-2.10120506970855,3.06209288870195,-0.686198997248339,0.49258763003571,0.876098704580508
"ENSMUSG00000106541",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000106545",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106562",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000106574",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000106576",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106580",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000106581",0.983560575917054,2.02647287220687,3.01898226886972,0.671243714513621,0.502065284623505,0.876098704580508
"ENSMUSG00000106583",0.617620505633681,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000106610",0.274642048583684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106612",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106621",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106633",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000106637",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106698",0.129616510004573,-0.769628098799205,3.0670940660345,-0.250930712338494,0.801867678892572,0.876098704580508
"ENSMUSG00000106704",0.163926762652842,-0.769628091092986,3.06709406597206,-0.250930709831055,0.801867680831214,0.876098704580508
"ENSMUSG00000106708",3.95147833666257e-05,-1.28437469997752,3.06913879378388,-0.418480487939758,0.675595849628591,0.876098704580508
"ENSMUSG00000106710",0.163926762652842,-0.769628091092986,3.06709406597206,-0.250930709831055,0.801867680831214,0.876098704580508
"ENSMUSG00000106733",0.0557071705701056,-0.769628125506757,3.06709406625089,-0.250930721028561,0.801867672173794,0.876098704580508
"ENSMUSG00000106735",0.15440512640842,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106741",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106746",0.30881025281684,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106760",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106773",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106775",0.228399399337433,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106784",0.174172185318645,-0.76962808908936,3.06709406595583,-0.250930709179118,0.801867681335263,0.876098704580508
"ENSMUSG00000106799",0.0774098601416201,-1.67784611285302,3.06756075417554,-0.546964264870432,0.584403283013636,0.876098704580508
"ENSMUSG00000106824",0.000158059133466503,-1.281992301629,3.06913875230725,-0.417704250309718,0.676163364361256,0.876098704580508
"ENSMUSG00000106832",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106834",0.549284097167367,-2.25679853636401,3.05984996089455,-0.737552025493509,0.460786717503522,0.876098704580508
"ENSMUSG00000106854",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106872",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106873",0.0761331331124777,-0.76962811585027,3.06709406617265,-0.250930717886546,0.801867674603062,0.876098704580508
"ENSMUSG00000106883",0.0986383360988006,-1.72502604588146,3.06715443518544,-0.5624190376893,0.573830551167177,0.876098704580508
"ENSMUSG00000106884",0.913597597349733,-3.27870514164279,3.04183935423281,-1.07786926258297,0.281092104302613,0.876098704580508
"ENSMUSG00000106891",0.15481972028324,-1.97647658497433,3.06404624092385,-0.645054424628525,0.518891917027491,0.876098704580508
