,corr,name
Map4k2,-0.1326702474578633,Map4k2
Leng8,-0.1326356180306245,Leng8
Dusp1,0.1325954956240751,Dusp1
Bbip1,-0.13246899141500937,Bbip1
Rbm12b2,-0.13238353706987582,Rbm12b2
Zfp131,-0.1323110932819872,Zfp131
Trim37,0.13228560150277485,Trim37
Sec22c,0.13220581441702062,Sec22c
Zfp945,-0.13211971380642465,Zfp945
Ubiad1,0.13195113887012785,Ubiad1
Pla2g6,0.13186290728949684,Pla2g6
Hdac11,0.13169476769055885,Hdac11
Prps1l3,0.13168637061620242,Prps1l3
Srsf7,-0.13155725787421949,Srsf7
Taco1,0.13143045728360211,Taco1
Plcl2,-0.1313852102299302,Plcl2
Tent5a,-0.1312059731683099,Tent5a
Brd9,-0.13119232599382083,Brd9
Pld3,0.13091227782125736,Pld3
Cpsf7,-0.13084622820743175,Cpsf7
Pex11b,0.13083694754698866,Pex11b
Vwf,0.13083267234424775,Vwf
Dync1li1,0.1308133355611505,Dync1li1
Dcaf12,0.1305668633863756,Dcaf12
Clec2d,-0.13047507433289127,Clec2d
Arfgap1,-0.13040084695605134,Arfgap1
Uimc1,-0.13037500579387093,Uimc1
Stxbp6,0.13036975236821574,Stxbp6
Msn,0.13036247671111528,Msn
Psmd3,0.13033334925926363,Psmd3
Fam76a,0.13024219868063272,Fam76a
Krit1,-0.12997706385592725,Krit1
Tmem267,-0.12988693690247857,Tmem267
Neb,-0.12988526846717072,Neb
Tgfbr2,0.12981695324502274,Tgfbr2
Ccnl1,-0.1296986243363976,Ccnl1
Gxylt1,0.12964467770011842,Gxylt1
Sucnr1,-0.12959507986842642,Sucnr1
Luc7l3,-0.1295603684934833,Luc7l3
Snx12,0.129550603639782,Snx12
Mup20,-0.1295458882532445,Mup20
Rybp,0.1294405481707171,Rybp
Zfp664,0.12929444645202398,Zfp664
Hlcs,0.1292617058214478,Hlcs
Ttc4,-0.1292032832156169,Ttc4
Stk24,0.12919672319308279,Stk24
Pigt,0.1288561426949504,Pigt
Sfswap,-0.12884328339787518,Sfswap
Nop10,-0.1287561350989527,Nop10
Cyp2j9,-0.12870526678499292,Cyp2j9
Pdxk,0.12866468139389084,Pdxk
Usp22,0.12866342227860297,Usp22
Myo5b,0.12863143147379497,Myo5b
Pan2,-0.1286085153831814,Pan2
Tmem25,-0.12860532474779424,Tmem25
Tyw1,0.12848284782049868,Tyw1
Dcun1d4,0.12846448944295422,Dcun1d4
Zfp68,-0.12820398872322666,Zfp68
Sec61g,-0.12815543377190874,Sec61g
Axl,0.12814282499768284,Axl
Inpp4a,-0.1281136144016749,Inpp4a
Cnot10,-0.1280705961768001,Cnot10
Ptpn12,0.12801875480934755,Ptpn12
Rpl35a,-0.12798947270704514,Rpl35a
Acad10,0.12798613026555936,Acad10
Tymp,0.12787961586317356,Tymp
Chd6,-0.12778129393964127,Chd6
Klhl21,0.12768945314185465,Klhl21
Morc2a,-0.12760821740594752,Morc2a
Ip6k2,-0.12748183165455526,Ip6k2
Wwtr1,0.12747696734794656,Wwtr1
Thoc2l,-0.1274645546187086,Thoc2l
Cstf3,-0.1274220208816785,Cstf3
Ctsf,0.12739097303543848,Ctsf
Malt1,-0.1272245715739992,Malt1
Zdhhc3,0.12706870953950694,Zdhhc3
Sgk2,-0.12699624526292916,Sgk2
Smim11,-0.1269277266115578,Smim11
Atp9a,0.12691154524381967,Atp9a
Metap1d,-0.1268578029085941,Metap1d
Ppp1r7,0.12666438814935713,Ppp1r7
Scarf1,-0.12664556285370054,Scarf1
Crip2,-0.12659858005000568,Crip2
Sppl2b,-0.12655391919577255,Sppl2b
Gm14288,-0.1265529834707153,Gm14288
Zfp329,-0.1265488779348031,Zfp329
Hao2,0.1264898403890787,Hao2
Smc4,-0.12638262231658132,Smc4
Zfp809,-0.126214492413565,Zfp809
Kifbp,0.12605576766776827,Kifbp
Lrrc41,0.1259982818326439,Lrrc41
Atmin,0.12596094016090778,Atmin
Farsb,0.12585190854394845,Farsb
Uck2,0.12583347129987027,Uck2
Tbcd,0.12558954941201825,Tbcd
Egln1,0.12558710229669512,Egln1
Dbnl,0.12553465975309788,Dbnl
Recql5,-0.12551130125954432,Recql5
Saa3,-0.12551066416551504,Saa3
Arfip2,-0.12547374382327403,Arfip2
Nxf1,-0.12538933684699496,Nxf1
Slc25a45,-0.12537307531188566,Slc25a45
Pick1,-0.12536302230492344,Pick1
H2ac19,-0.12532570101458665,H2ac19
Cox15,0.12530171160568818,Cox15
Uqcc4,-0.12526130157020937,Uqcc4
Slc45a3,-0.1252179751145581,Slc45a3
Parn,0.12520273726849632,Parn
Trmt2a,-0.1251780815086147,Trmt2a
Ganc,-0.1250589905720115,Ganc
Fcna,-0.12504700218899004,Fcna
Cptp,0.1250250566073264,Cptp
Ints15,0.12501484688327064,Ints15
Cox20,-0.12497827175636429,Cox20
Wasf2,0.12480745138892117,Wasf2
Rmc1,-0.12474418167882004,Rmc1
Rubcn,0.12473409766029672,Rubcn
Vps33a,0.12473101773763151,Vps33a
Clk4,-0.12467613051172897,Clk4
Cisd3,-0.12461306411392667,Cisd3
Ampd2,-0.12451768704769658,Ampd2
Uqcc3,-0.12448186706765081,Uqcc3
Vezt,-0.12437459133775097,Vezt
Sdc3,0.12435931670151154,Sdc3
Zranb2,-0.12420824072640733,Zranb2
Prpf40b,-0.12419959480284312,Prpf40b
Prkce,0.12412869639223319,Prkce
Bcas3,0.12405084406124767,Bcas3
Cep295,-0.12386481609268914,Cep295
Zfp322a,-0.1238373459114024,Zfp322a
Rap1gds1,0.12381666985429336,Rap1gds1
Czib,-0.12380642461249904,Czib
Ak4,0.12367017244027555,Ak4
Stx16,-0.1236532376027245,Stx16
Slc27a4,0.12351563427940915,Slc27a4
Mxi1,0.12325536252692214,Mxi1
Gpd1l,0.12320323450890684,Gpd1l
Spryd7,-0.12311455860422807,Spryd7
Sult2a1,-0.12310874386456491,Sult2a1
Zfp397,-0.12310447911048884,Zfp397
Rev1,-0.12287945596502524,Rev1
Tecpr1,-0.12284300097484488,Tecpr1
Mpdz,0.12282120715670315,Mpdz
Dhdds,0.12276670914438562,Dhdds
Pttg1,-0.12275502915021197,Pttg1
Erf,0.12270614197438316,Erf
Cep85,-0.12266293404575433,Cep85
Fig4,0.12261130133050652,Fig4
Wbp11,0.12258836401065643,Wbp11
Crim1,0.1225414510114613,Crim1
Pura,-0.12249544050229501,Pura
Mndal,-0.12230418175298288,Mndal
Anapc16,-0.1222592885709852,Anapc16
Spty2d1,0.12225537975970492,Spty2d1
Klhdc8b,-0.12208464174747823,Klhdc8b
Lsm7,-0.12206285865869125,Lsm7
Cd163,-0.1220030735440881,Cd163
Tbx3,0.12193838841123489,Tbx3
Polr1b,-0.12188013647489943,Polr1b
Atg14,0.12187389917691142,Atg14
Rilp,-0.12174809463022346,Rilp
Cox16,-0.12173501493224269,Cox16
Ccdc85c,0.12163665511804617,Ccdc85c
Bco2,-0.12156393037372583,Bco2
Wdr4,-0.12155716400720616,Wdr4
Ddx39a,-0.1214725547101888,Ddx39a
Prkca,0.12144502830337003,Prkca
Unc119b,0.1214414267960706,Unc119b
Znrf1,-0.12137196934223436,Znrf1
Mrpl20,-0.12119697453237785,Mrpl20
Gpaa1,-0.12113521331078002,Gpaa1
Cotl1,0.12105473461272197,Cotl1
Snrnp27,-0.121023572340559,Snrnp27
Slc29a1,-0.12101802664720557,Slc29a1
Atxn1l,0.1209837551373172,Atxn1l
Tceal8,-0.12087222515107979,Tceal8
Mrps33,-0.12086149278161548,Mrps33
Tstd1,-0.12046863620139722,Tstd1
Mrps10,-0.12044840934824362,Mrps10
Rbm28,-0.12042774130240431,Rbm28
Atg13,0.1202578424752835,Atg13
Apoc1,-0.12009296417357404,Apoc1
Arhgef5,-0.11989819283206597,Arhgef5
Zfyve9,0.11976503608771263,Zfyve9
Tti2,-0.11974463813742878,Tti2
Supt20,-0.1197327744020439,Supt20
Esf1,-0.11963818382581456,Esf1
Avpr1a,-0.11958740953841095,Avpr1a
Galnt4,0.11953596292035279,Galnt4
Ankrd50,0.11950366498209912,Ankrd50
Cdk17,-0.11945303554499101,Cdk17
Tatdn1,-0.11938821720854144,Tatdn1
Fyn,0.11933797243683994,Fyn
Gadd45gip1,-0.1193293576496807,Gadd45gip1
Tle3,0.11907704632263906,Tle3
Cox19,-0.11907450552168637,Cox19
Zfp715,-0.11891807370032728,Zfp715
Srek1ip1,-0.11889816438141304,Srek1ip1
Dmpk,-0.11888148755119841,Dmpk
Rasa3,0.11866266888981615,Rasa3
Ppp1r9b,0.1185760100914104,Ppp1r9b
Rgl2,-0.11853866085157415,Rgl2
Heatr6,-0.1184666696443178,Heatr6
Ssh3,-0.11841824308745977,Ssh3
Mup14,-0.11841118094053037,Mup14
Enpp5,0.11838267059850235,Enpp5
Zfp410,-0.11830537207828444,Zfp410
Creb3l2,0.1183019323416512,Creb3l2
